y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
4,1,AL,Alabama,819,1646,53745
4,31,NE,Nebraska,808,1424,61025
4,15,HI,Hawaii,795,1437,60277
4,34,NJ,New Jersey,790,1321,58949
4,46,SD,South Dakota,716,1343,63339
4,2,AK,Alaska,679,1285,46427
4,56,WY,Wyoming,556,945,73846
4,22,LA,Louisiana,507,930,29402
4,38,ND,North Dakota,495,909,30959
4,9,CT,Connecticut,494,831,41254
4,23,ME,Maine,367,654,22126
4,28,MS,Mississippi,358,689,18043
4,33,NH,New Hampshire,284,511,25221
4,54,WV,West Virginia,202,390,11863
4,50,VT,Vermont,174,296,10800
4,11,DC,District Of Columbia,169,227,13867
4,10,DE,Delaware,154,279,12185
4,44,RI,Rhode Island,152,249,12000
5,96,AR,AR Total Migration-US and Foreign,30637,57065,1691879
5,97,AR,AR Total Migration-US,30432,56666,1682286
5,98,AR,AR Total Migration-Foreign,205,399,9593
5,97,AR,AR Total Migration-Same State,46667,89146,2058425
5,5,AR,AR Non-migrants,976801,2070970,68385089
5,48,TX,Texas,6218,11637,338910
5,29,MO,Missouri,3112,6009,146767
5,40,OK,Oklahoma,2911,5802,115439
5,47,TN,Tennessee,1788,3223,93922
5,12,FL,Florida,1787,3259,163166
5,6,CA,California,1237,2126,64829
5,22,LA,Louisiana,998,1878,42665
5,13,GA,Georgia,836,1560,49391
5,28,MS,Mississippi,823,1608,40124
5,17,IL,Illinois,757,1306,41963
5,8,CO,Colorado,732,1277,40306
5,37,NC,North Carolina,650,1242,46132
5,20,KS,Kansas,618,1100,35996
5,4,AZ,Arizona,526,958,35113
5,53,WA,Washington,500,850,29909
5,1,AL,Alabama,482,925,37214
5,51,VA,Virginia,457,832,29618
5,39,OH,Ohio,453,866,30813
5,26,MI,Michigan,402,759,22496
5,18,IN,Indiana,399,747,19174
5,19,IA,Iowa,392,687,13066
5,21,KY,Kentucky,331,696,18852
5,36,NY,New York,311,462,13560
5,55,WI,Wisconsin,309,564,17075
5,45,SC,South Carolina,302,594,17817
5,27,MN,Minnesota,263,469,14971
5,42,PA,Pennsylvania,260,452,15166
5,49,UT,Utah,223,459,13938
5,32,NV,Nevada,214,399,9979
5,31,NE,Nebraska,212,399,11958
