SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
50,3,5,37,43,North Carolina,Clay County,11085,11142,11350,11614,57,208,264,21,87,88,37,178,173,-16,-91,-85,0,2,6,83,313,325,83,315,331,-10,-16,18,93,93,93,93,7.736083941,7.664170005,15.8278499,15.06706149,-8.091765961,-7.402891482,0.17784101,0.522557046,27.83211809,28.30517332,28.0099591,28.82773036
50,3,5,37,45,North Carolina,Cleveland County,99521,99799,100318,100670,278,519,352,262,1099,1155,326,1533,1564,-64,-434,-409,0,2,7,345,935,770,345,937,777,-3,16,-16,2079,2077,1975,1990,10.98357461,11.49322348,15.32103719,15.5631182,-4.337462584,-4.06989472,0.019988307,0.0696559,9.344533448,7.662148984,9.364521755,7.731804884
50,3,5,37,47,North Carolina,Columbus County,50625,50487,49953,49885,-138,-534,-68,127,579,608,239,903,897,-112,-324,-289,0,8,27,-34,-240,214,-34,-232,241,8,22,-20,2524,2524,2332,2336,11.52927121,12.17973116,17.98088411,17.96910996,-6.451612903,-5.789378794,0.159299084,0.54087622,-4.778972521,4.286944851,-4.619673437,4.82782107
50,3,5,37,49,North Carolina,Craven County,100718,100646,100277,100874,-72,-369,597,370,1250,1316,298,1419,1414,72,-169,-98,13,26,127,-159,-272,577,-146,-246,704,2,46,-9,3474,3474,3028,3030,12.44257751,13.08469757,14.12481398,14.05908994,-1.682236479,-0.974392372,0.258805612,1.262732972,-2.707504865,5.736983659,-2.448699253,6.999716631
50,3,5,37,51,North Carolina,Cumberland County,334728,334391,337249,336699,-337,2858,-550,1304,5101,5342,761,3229,3259,543,1872,2083,2,271,925,-876,517,-3530,-874,788,-2605,-6,198,-28,14454,14243,15550,15577,15.18968495,15.85285512,9.615270085,9.671369305,5.574414865,6.181485812,0.80697993,2.745018904,1.539515217,-10.47558565,2.346495146,-7.73056675
50,3,5,37,53,North Carolina,Currituck County,28103,28401,29714,31015,298,1313,1301,85,314,322,65,305,301,20,9,21,0,-1,-9,302,1364,1239,302,1363,1230,-24,-59,50,133,133,133,133,10.8061602,10.60448879,10.49642949,9.912891699,0.309730706,0.691597095,-0.034414523,-0.296398755,46.94140928,40.80422862,46.90699475,40.50782987
50,3,5,37,55,North Carolina,Dare County,36910,37032,37889,37956,122,857,67,80,317,326,85,422,430,-5,-105,-104,1,22,43,135,976,129,136,998,172,-9,-36,-1,266,266,249,249,8.4622469,8.596479663,11.26519934,11.33891489,-2.802952443,-2.74243523,0.587285274,1.133891489,26.05411033,3.401674468,26.6413956,4.535565957
50,3,5,37,57,North Carolina,Davidson County,168933,169196,170794,172586,263,1598,1792,425,1718,1791,529,2295,2302,-104,-577,-511,5,105,253,351,2062,2056,356,2167,2309,11,8,-6,1867,1867,1807,1812,10.10617959,10.43159182,13.50039707,13.40788631,-3.394217477,-2.976294484,0.617665225,1.473586115,12.12976852,11.97507135,12.74743375,13.44865746
50,3,5,37,59,North Carolina,Davie County,42715,42895,43614,44090,180,719,476,114,393,408,117,586,578,-3,-193,-170,0,7,11,190,930,638,190,937,649,-7,-25,-3,406,406,421,422,9.085759863,9.304022622,13.54772336,13.18069871,-4.461963495,-3.876676092,0.161832873,0.250843747,21.50065311,14.54893734,21.66248598,14.79978108
50,3,5,37,61,North Carolina,Duplin County,48705,48657,48606,48990,-48,-51,384,174,700,740,201,710,715,-27,-10,25,5,86,209,-33,-154,161,-28,-68,370,7,27,-11,426,426,427,427,14.39396276,15.16455592,14.5995908,14.65223985,-0.205628039,0.512316079,1.768401139,4.282962417,-3.166671807,3.299315546,-1.398270668,7.582277962
50,3,5,37,63,North Carolina,Durham County,324849,325561,329699,332680,712,4138,2981,986,4058,4262,642,2589,2583,344,1469,1679,62,902,2291,274,1827,-808,336,2729,1483,32,-60,-181,14365,14146,17071,17220,12.38592315,12.86876547,7.902206758,7.7991603,4.483716387,5.069605166,2.753105638,6.917489836,5.576412416,-2.439690872,8.329518054,4.477798964
50,3,5,37,65,North Carolina,Edgecombe County,48897,48777,48370,48301,-120,-407,-69,148,592,616,172,853,851,-24,-261,-235,0,17,46,-92,-186,140,-92,-169,186,-4,23,-20,673,673,621,612,12.18771552,12.74425629,17.56101578,17.60610731,-5.373300256,-4.86185102,0.349985074,0.951681476,-3.829248459,2.896421885,-3.479263384,3.848103361
